"date","high_price","low_price","closing_price","average_price","total_volume","turnover"
2023-02-17,2257.93,2230.71,2249.38,NA,1,NA
2023-02-16,2268.93,2241.96,2256.54,NA,1,NA
2023-02-15,2255.47,2224.93,2255.14,NA,1,NA
2023-02-14,2254.38,2224.8,2232.45,NA,1,NA
2023-02-13,2234.98,2206.86,2233.18,NA,1,NA
2023-02-10,2227.29,2189.09,2200.77,NA,1,NA
2023-02-09,2265.72,2232.15,2235.37,NA,1,NA
2023-02-08,2269.51,2244.1,2244.14,NA,1,NA
2023-02-07,2267.29,2250.07,2254.8,NA,1,NA
2023-02-06,2282.73,2253.04,2258.2,NA,1,NA
2023-02-03,2295.3,2265.28,2294.52,NA,1,NA
2023-02-02,2287.54,2226.35,2287.4,NA,1,NA
2023-02-01,2215.47,2195.51,2210.13,NA,1,NA
2023-01-31,2202.89,2184.34,2198.54,NA,1,NA
2023-01-30,2204.23,2183.39,2200.08,NA,1,NA
2023-01-27,2204.15,2187.29,2197.66,NA,1,NA
2023-01-26,2208.69,2184.04,2190.53,NA,1,NA
2023-01-25,2218.95,2193.52,2204.3,NA,1,NA
2023-01-24,2229.46,2204.42,2216.17,NA,1,NA
2023-01-23,2226.24,2204.61,2224.53,NA,1,NA
2023-01-20,2197.73,2179,2197.42,NA,1,NA
2023-01-19,2210.1,2173.89,2173.89,NA,1,NA
2023-01-18,2234.51,2211.74,2218.74,NA,1,NA
2023-01-17,2225.22,2209.96,2212.83,NA,1,NA
2023-01-16,2226.08,2208.97,2225.1,NA,1,NA
2023-01-13,2225.87,2204.74,2217.18,NA,1,NA
2023-01-12,2234.7,2200.29,2225.27,NA,1,NA
2023-01-11,2216.88,2183.4,2207.8,NA,1,NA
2023-01-10,2184.19,2168.61,2180.7,NA,1,NA
2023-01-09,2191.82,2160.59,2191.82,NA,1,NA
2023-01-05,2137.54,2110.41,2137.44,NA,1,NA
2023-01-04,2120.55,2095.51,2120.35,NA,1,NA
2023-01-03,2104.63,2069.67,2090.03,NA,1,NA
2023-01-02,2075.76,2054.8,2075.76,NA,1,NA
2022-12-30,2072.24,2043.23,2043.4,NA,1,NA
2022-12-29,2075.41,2042.83,2075.31,NA,1,NA
